geneid,CAT1,CAT2,CAT4,CAT5,CAT16,CAT36,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
med27,0.843552218,0.477879104,0.0,1.678909651,0.705086634,0.0,-1.398207622,0.0,0.0,-0.329507472,-0.719537844,-1.018146778,-0.269734793,1.195716885,-0.050218451,1.042303364,0.831058229,0.775920356,0.957310395,0.0,1.208319982,2.549576506,0.621463811,-0.760315513,0.388085812,0.0,-0.506164739,0.048545114,0.374583567,-0.73210576
med28,0.0,-0.481346312,0.377590448,1.740686791,0.452675097,0.199867065,-1.470058056,0.0,0.224418763,-0.125915799,-0.131954358,1.41285989,-0.998326031,-0.406847591,-0.643530548,-0.610313818,-0.30638805,-1.32041967,-0.682409828,-0.454432825,-1.071946493,-0.795709619,-0.883851432,-1.273698527,-0.735718709,0.0,-0.511790334,0.09420474,0.691983383,-1.623619876
med29,0.0,0.751381378,-0.471268853,-0.080928042,0.445255569,0.86308394,-1.56611215,0.0,0.0,0.29184897,-0.7513711,-0.093692849,-2.196392197,-0.858786816,0.0,-1.604008749,-0.209963066,-3.144381077,-3.380774418,0.0,0.0,-0.554963992,-1.139502039,-0.023389814,-2.337595523,0.0,-1.913154234,-0.67270947,0.406798782,0.0
med30,0.0,0.20202513,0.327628485,0.0,0.616210856,0.0,0.507419482,1.999067137,0.660245878,0.570371347,0.805177432,-0.177697715,1.023839024,1.251471274,1.007192267,1.399918942,1.081744928,1.147037055,1.077946487,0.586759365,1.337694317,0.750277339,1.486566134,1.871210433,1.657839092,0.0,1.865140274,1.597785052,2.304867116,0.0
med31,0.0,1.281326653,0.944025273,-0.241114962,0.048488682,0.0,-0.297406839,0.0,0.0,0.089015571,-0.684015102,0.0,0.0,2.015390445,2.739240116,1.954542972,1.645642038,2.390719228,1.00717637,0.0,0.0,1.713344176,1.538857956,0.805788839,2.478906738,0.0,1.324651196,0.0,0.0,0.0
med4,0.278485533,0.432302093,0.160317567,0.433964373,0.240196886,0.311539305,-1.420400581,0.0,0.0,-0.090905673,-0.053851477,-0.525129164,0.058113392,-0.646421384,-0.612097344,-0.136505123,0.038173371,-1.684286468,-0.016685727,0.134224125,-0.523309753,0.19340361,0.033080707,-0.401511621,-0.182176429,0.0,0.577974787,0.32742461,-0.730032553,0.0
med6,0.0,0.942924703,0.664576719,1.768673549,0.622274217,0.640077363,0.157660659,-0.635289685,0.0,-0.32429972,0.179208759,-1.450118577,0.308700424,0.275752794,0.034354264,0.081573185,0.168593465,-1.028558658,-0.241800583,0.324905911,-1.09583396,0.0,0.004183267,-0.983389436,0.618332616,0.0,0.222962558,0.021202832,-0.464878184,0.71440141
med7,0.0,0.747431851,-0.824088085,-0.648079587,0.732298016,0.0,-1.280418679,0.0,-2.181284131,-0.143347183,-0.247961245,0.077077442,-2.085170399,-1.057677543,0.0,0.417875112,0.327580395,-0.706745092,-1.911987461,2.392767326,-1.08448361,0.0,-0.339174441,-1.460546155,0.694751113,0.0,-1.587458695,-0.046087202,-0.836983194,-1.001408779
med8,0.0,0.724610049,0.148069353,1.014382033,0.552357333,1.025034832,-0.142243664,-1.352378503,0.0,-0.015674245,-0.123005112,-2.694442286,-0.002084478,-1.858686527,-1.246514145,0.098103022,-0.314627711,-0.415685008,-0.769619273,0.101680864,-0.403282436,1.134697001,0.169374495,0.348478322,0.217009205,0.0,-0.6328143,-0.337629055,0.202324799,-0.816801488
med9,0.0,-0.352678365,0.0,0.0,0.666058673,0.0,-0.818701095,0.0,0.446288293,0.344698722,-0.132415651,0.0,-0.179763574,-1.241509585,-2.255263571,-3.116261078,-0.418791724,0.285680649,-1.425032168,0.0,0.557221441,-0.220275231,-0.723095614,0.514355157,0.022902514,0.0,0.204297598,0.0,0.0,0.0
mef2a,0.0,-0.989528827,-0.558563364,0.240015992,0.183868799,-0.758364415,-0.396025631,0.0,0.0,-0.131041078,0.817801177,0.0,0.22113383,0.0,0.0,-0.051333431,-0.260749275,0.824220037,-1.280999235,0.0,0.0,0.0,-0.618005655,-0.016466778,0.0,0.0,-0.077672341,-0.186989432,0.027784282,0.0
mef2d,0.0,0.184006993,0.470276335,0.38021167,-0.301193069,-0.075569065,0.337101253,0.0,0.200679845,0.137464308,-0.952668801,0.0,0.874621935,-1.835209641,0.454121806,-0.37418013,0.077181943,0.268183908,-0.048295648,0.0,-0.374124447,0.0,-1.536843915,-0.134142618,0.0,0.0,-2.079647916,-0.279744203,0.476124156,0.0
megf8,0.0,-2.409281474,-2.315385593,0.0,-0.064755633,-2.622379735,-1.112456528,0.0,0.0,0.003399829,-0.283371682,0.0,0.710156392,-0.76694642,-0.89140845,-0.493798901,-0.166112548,0.715735879,-0.758395288,0.0,-0.016553285,0.0,-1.480158855,-0.136447922,0.0,0.0,0.189153993,-0.852572791,0.0,0.0
meis2,0.0,-0.477488444,0.539888759,0.0,-0.729787451,-0.018939051,0.0,0.0,0.0,0.266289433,-0.938368848,0.0,-0.922293443,-0.220982836,0.407873129,-0.160788088,0.198465916,-0.457031792,1.209158771,0.0,-0.208232068,0.0,-1.111272607,0.225603139,0.0,0.0,2.505511888,-1.403703515,0.0,0.0
melk,0.0,0.555110676,0.068036828,-0.307618015,1.348617816,0.518445149,1.068176506,0.0,0.992691429,0.881329272,1.193900939,1.832637811,0.922185776,-0.159425752,0.33129229,1.269110801,0.893985592,0.648873661,0.20232845,0.0,1.202150375,0.0,0.730685788,0.423133278,0.0,0.0,0.42102186,1.416461363,-0.23508966,1.093886935
memo1,0.0,0.865163067,0.0,0.0,0.576066138,0.0,-0.186122978,0.0,0.0,-0.419396339,0.0,0.37711629,-2.894780342,-0.118123071,0.397093599,-0.290226305,0.58615818,0.545901411,0.176638287,0.0,-0.62426916,-0.923757425,-0.825034431,-0.942438857,-0.394826731,0.0,-0.583273167,0.735131806,0.0,0.0
men1,0.103833699,-0.416963049,0.528505001,-0.402657436,0.235059445,0.514227883,0.677596236,-0.788436631,0.454010356,0.441236297,0.026892544,0.220897008,0.464731608,-0.422884676,-0.721273009,-1.542490751,-0.354682425,0.0,-0.763220301,0.811655441,-1.769487521,0.063648134,-1.603132946,0.587969039,0.442724072,0.0,-2.855388063,0.024060959,0.852371544,0.0
